original_path,filename,language,category,source,target_path,operation,file_type,size_bytes,confidence,detection_method
/workspace/diksha-math/study-materials/oer/mathematics/english/cbse_class8_math.pdf,cbse_class8_math.pdf,en,study-materials,/workspace/diksha-math/study-materials/oer/mathematics,/workspace/bilingual-org/content/rrb-ntpc/language/en/study-materials/mathematics,copy,.pdf,4832768,low,default
/workspace/diksha-math/study-materials/oer/mathematics/english/algebra/ncert_class8_algebra.pdf,ncert_class8_algebra.pdf,en,study-materials,/workspace/diksha-math/study-materials/oer/mathematics,/workspace/bilingual-org/content/rrb-ntpc/language/en/study-materials/mathematics,copy,.pdf,11672181,high,path
/workspace/diksha-math/study-materials/oer/mathematics/english/algebra/ncert_class9_polynomials.pdf,ncert_class9_polynomials.pdf,en,study-materials,/workspace/diksha-math/study-materials/oer/mathematics,/workspace/bilingual-org/content/rrb-ntpc/language/en/study-materials/mathematics,copy,.pdf,1460255,high,path
/workspace/diksha-math/study-materials/oer/mathematics/english/geometry/diksha_practical_geometry_class8.txt,diksha_practical_geometry_class8.txt,en,study-materials,/workspace/diksha-math/study-materials/oer/mathematics,/workspace/bilingual-org/content/rrb-ntpc/language/en/study-materials/mathematics,copy,.txt,73147,high,path
/workspace/diksha-math/study-materials/oer/mathematics/english/geometry/practical_geometry_class7.pdf,practical_geometry_class7.pdf,en,study-materials,/workspace/diksha-math/study-materials/oer/mathematics,/workspace/bilingual-org/content/rrb-ntpc/language/en/study-materials/mathematics,copy,.pdf,1514431,high,path
/workspace/diksha-math/study-materials/oer/mathematics/english/geometry/practical_geometry_class8.pdf,practical_geometry_class8.pdf,en,study-materials,/workspace/diksha-math/study-materials/oer/mathematics,/workspace/bilingual-org/content/rrb-ntpc/language/en/study-materials/mathematics,copy,.pdf,1514431,high,path
/workspace/diksha-math/study-materials/oer/mathematics/english/mensuration/introduction_to_graphs_ncert.pdf,introduction_to_graphs_ncert.pdf,en,study-materials,/workspace/diksha-math/study-materials/oer/mathematics,/workspace/bilingual-org/content/rrb-ntpc/language/en/study-materials/mathematics,copy,.pdf,126976,high,path
/workspace/diksha-math/study-materials/oer/mathematics/english/mensuration/practical_geometry_class8_complete.pdf,practical_geometry_class8_complete.pdf,en,study-materials,/workspace/diksha-math/study-materials/oer/mathematics,/workspace/bilingual-org/content/rrb-ntpc/language/en/study-materials/mathematics,copy,.pdf,400133,high,path
/workspace/diksha-math/study-materials/oer/mathematics/english/mensuration/tripura_class8_workbook.pdf,tripura_class8_workbook.pdf,en,study-materials,/workspace/diksha-math/study-materials/oer/mathematics,/workspace/bilingual-org/content/rrb-ntpc/language/en/study-materials/mathematics,copy,.pdf,207958,high,path
/workspace/diksha-math/study-materials/oer/mathematics/english/number-system/cbse_class8_math_textbook.pdf,cbse_class8_math_textbook.pdf,en,study-materials,/workspace/diksha-math/study-materials/oer/mathematics,/workspace/bilingual-org/content/rrb-ntpc/language/en/study-materials/mathematics,copy,.pdf,207792,high,path
