content_category,license_type,attribution_required,redistribution_permissions,commercial_use_allowed,modifications_allowed,contact_info,source_url,legal_compliance_notes
Platform Documentation,CC BY 4.0,Yes,Yes,Yes,Yes,"NCERT, Ministry of Education, Government of India",https://diksha.gov.in/,"Attribution required: Title, Author, Source, License (TASL) | Commercial use permitted with proper attribution | Modifications allowed and encouraged | Usage: Attribution required. Commercial use permitted. Content extraction permitted. Source link maintained. | Redistribution: Full redistribution permitted with attribution to original DIKSHA platform and content extraction source"
General Awareness,CC BY 4.0,Yes,Yes,Yes,Yes,"NCERT, Ministry of Education, Government of India",https://diksha.gov.in/,"Attribution required: Title, Author, Source, License (TASL) | Commercial use permitted with proper attribution | Modifications allowed and encouraged | Usage: Attribution required. Commercial use permitted. Failed extraction attempts documented. Source acknowledgment for attempted access. | Redistribution: Full redistribution permitted as research documentation; includes acknowledgment of failed access attempt"
Platform Documentation,CC BY-SA 4.0,Yes,Yes,Yes,Yes (Share-Alike Required),"NCERT, Ministry of Education, Government of India",https://diksha.gov.in/,"Attribution required: Title, Author, Source, License (TASL) | Share-Alike: Derivatives must use same license | Commercial use permitted with attribution and share-alike | Usage: Attribution required. Share-alike provision: derivatives must use CC BY-SA 4.0 license. Commercial use permitted. | Redistribution: Redistribution permitted under CC BY-SA 4.0: derivatives must maintain same license and attribution requirements"
NCERT Educational Content,CC BY 4.0,Yes,Yes,Yes,Yes,"NCERT, Ministry of Education, Government of India",https://diksha.gov.in/,"Attribution required: Title, Author, Source, License (TASL) | Commercial use permitted with proper attribution | Modifications allowed and encouraged | Usage: Non-commercial educational use | Redistribution: Permitted with attribution"
NCERT Educational Content,Unknown/All Rights Reserved,Yes,No,Unknown,Unknown,"NCERT, Ministry of Education, Government of India",https://diksha.gov.in/,Redistribution: No redistribution permitted
Reasoning & Mental Ability,Unknown/All Rights Reserved,Yes,No,Unknown,Unknown,"NCERT, Ministry of Education, Government of India",https://diksha.gov.in/,Redistribution: No redistribution permitted
Exam Practice Materials,All Rights Reserved,Yes,No,No,No,Testbook Edutech Pvt Ltd,https://testbook.com/,No redistribution without written permission | Personal use only - educational/commercial use prohibited | Usage: Personal use only | Redistribution: No redistribution permitted
Educational Content,Government Work,Yes,Yes (with attribution),Yes,Yes,Railway Recruitment Board (RRB),https://www.rrb.gov.in/,Attribution to issuing government body required | Public use generally permitted | Usage: Official use only | Redistribution: Limited redistribution
Educational Content,Government Work,Yes,Yes (with attribution),Yes,Yes,Government of India Portal,,Attribution to issuing government body required | Public use generally permitted | Usage: Official use only | Redistribution: Public domain
General Awareness,Government Work,Yes,Yes (with attribution),Yes,Yes,Government of India Portal,,Attribution to issuing government body required | Public use generally permitted | Usage: Official use only | Redistribution: Public domain
Exam Practice Materials,All Rights Reserved,Yes,Permission Required,No,No,Mockers.in Educational Platform,https://www.mockers.in/,No redistribution without written permission | Personal use only - educational/commercial use prohibited | Usage: Registration required for access | Redistribution requires explicit permission
Educational Content,CC BY-SA 3.0,Yes,Yes,Yes,Yes (Share-Alike Required),Wikimedia Foundation,https://www.wikimedia.org/,"Attribution required: Title, Author, Source, License (TASL) | Share-Alike: Derivatives must use same license | Commercial use permitted with attribution and share-alike | Usage: Educational use | Redistribution: Redistribution permitted with share-alike"
Computer Science & Programming,CC BY-SA 3.0,Yes,Yes,Yes,Yes (Share-Alike Required),Wikimedia Foundation,https://www.wikimedia.org/,"Attribution required: Title, Author, Source, License (TASL) | Share-Alike: Derivatives must use same license | Commercial use permitted with attribution and share-alike | Usage: Educational use | Redistribution: Redistribution permitted with share-alike"
Educational Content,CC BY-SA 3.0,Yes,Yes,Yes,Yes (Share-Alike Required),Wikimedia Foundation,https://en.wikipedia.org/wiki/World_Wide_Web.,"Attribution required: Title, Author, Source, License (TASL) | Share-Alike: Derivatives must use same license | Commercial use permitted with attribution and share-alike | Usage: Must license any adaptations under CC BY-SA 3.0 or compatible license | Redistribution: Yes"
Computer Science & Programming,CC BY-SA 3.0,Yes,Yes,Yes,Yes (Share-Alike Required),Wikimedia Foundation,https://en.wikipedia.org/wiki/JavaScript.,"Attribution required: Title, Author, Source, License (TASL) | Share-Alike: Derivatives must use same license | Commercial use permitted with attribution and share-alike | Usage: Must license any adaptations under CC BY-SA 3.0 or compatible license | Redistribution: Yes"
Computer Science & Programming,CC BY-SA 3.0,Yes,Yes,Yes,Yes (Share-Alike Required),Wikimedia Foundation,https://en.wikibooks.org/wiki/Programming_Languages.,"Attribution required: Title, Author, Source, License (TASL) | Share-Alike: Derivatives must use same license | Commercial use permitted with attribution and share-alike | Usage: Must license any adaptations under CC BY-SA 3.0 or compatible license | Redistribution: Yes"
Computer Science & Programming,CC BY-SA 3.0,Yes,Yes,Yes,Yes (Share-Alike Required),Wikimedia Foundation,https://en.wikibooks.org/wiki/HTML_Programming.,"Attribution required: Title, Author, Source, License (TASL) | Share-Alike: Derivatives must use same license | Commercial use permitted with attribution and share-alike | Usage: Must license any adaptations under CC BY-SA 3.0 or compatible license | Redistribution: Yes"
Computer Science & Programming,CC BY-SA 3.0,Yes,Yes,Yes,Yes (Share-Alike Required),Wikimedia Foundation,https://en.wikipedia.org/wiki/Computer_programming.,"Attribution required: Title, Author, Source, License (TASL) | Share-Alike: Derivatives must use same license | Commercial use permitted with attribution and share-alike | Usage: Must license any adaptations under CC BY-SA 3.0 or compatible license | Redistribution: Yes"
Educational Content,CC BY-SA 3.0,Yes,Yes,Yes,Yes (Share-Alike Required),Wikimedia Foundation,https://en.wikipedia.org/wiki/Open_source_software.,"Attribution required: Title, Author, Source, License (TASL) | Share-Alike: Derivatives must use same license | Commercial use permitted with attribution and share-alike | Usage: Must license any adaptations under CC BY-SA 3.0 or compatible license | Redistribution: Yes"
Computer Science & Programming,CC BY-SA 3.0,Yes,Yes,Yes,Yes (Share-Alike Required),Wikimedia Foundation,https://en.wikibooks.org/wiki/Introduction_to_Programming.,"Attribution required: Title, Author, Source, License (TASL) | Share-Alike: Derivatives must use same license | Commercial use permitted with attribution and share-alike | Usage: Must license any adaptations under CC BY-SA 3.0 or compatible license | Redistribution: Yes"
Computer Science & Programming,CC BY-SA 3.0,Yes,Yes,Yes,Yes (Share-Alike Required),Wikimedia Foundation,https://en.wikibooks.org/wiki/Web_Development.,"Attribution required: Title, Author, Source, License (TASL) | Share-Alike: Derivatives must use same license | Commercial use permitted with attribution and share-alike | Usage: Must license any adaptations under CC BY-SA 3.0 or compatible license | Redistribution: Yes"
Computer Science & Programming,CC BY-SA 3.0,Yes,Yes,Yes,Yes (Share-Alike Required),Wikimedia Foundation,https://en.wikipedia.org/wiki/Web_development.,"Attribution required: Title, Author, Source, License (TASL) | Share-Alike: Derivatives must use same license | Commercial use permitted with attribution and share-alike | Usage: Must license any adaptations under CC BY-SA 3.0 or compatible license | Redistribution: Yes"
Educational Content,CC BY-SA 3.0,Yes,Yes,Yes,Yes (Share-Alike Required),Wikimedia Foundation,https://en.wikipedia.org/wiki/Database_management_system.,"Attribution required: Title, Author, Source, License (TASL) | Share-Alike: Derivatives must use same license | Commercial use permitted with attribution and share-alike | Usage: Must license any adaptations under CC BY-SA 3.0 or compatible license | Redistribution: Yes"
