Platform Name,URL,Status,Subject,Language,Content Type,Format Available,Search Method,Access Procedure,Licensing Information,Notes
NROER,https://nroer.gov.in,Inactive,Mathematics,English,Educational Resources,PDF Video Audio Interactive,Direct site navigation,N/A - Site Inaccessible,Creative Commons CC BY-SA 3.0,Site confirmed inactive via Wikipedia - connection timeout errors
NROER,https://nroer.gov.in,Inactive,Mathematics,Hindi,Educational Resources,PDF Video Audio Interactive,Direct site navigation,N/A - Site Inaccessible,Creative Commons CC BY-SA 3.0,Site confirmed inactive via Wikipedia - connection timeout errors
NROER,https://nroer.gov.in,Inactive,General Intelligence & Reasoning,English,Educational Resources,PDF Video Audio Interactive,Direct site navigation,N/A - Site Inaccessible,Creative Commons CC BY-SA 3.0,Site confirmed inactive via Wikipedia - connection timeout errors
NROER,https://nroer.gov.in,Inactive,General Intelligence & Reasoning,Hindi,Educational Resources,PDF Video Audio Interactive,Direct site navigation,N/A - Site Inaccessible,Creative Commons CC BY-SA 3.0,Site confirmed inactive via Wikipedia - connection timeout errors
NROER,https://nroer.gov.in,Inactive,General Science,English,Educational Resources,PDF Video Audio Interactive,Direct site navigation,N/A - Site Inaccessible,Creative Commons CC BY-SA 3.0,Site confirmed inactive via Wikipedia - connection timeout errors
NROER,https://nroer.gov.in,Inactive,General Science,Hindi,Educational Resources,PDF Video Audio Interactive,Direct site navigation,N/A - Site Inaccessible,Creative Commons CC BY-SA 3.0,Site confirmed inactive via Wikipedia - connection timeout errors
NROER,https://nroer.gov.in,Inactive,General Awareness,English,Educational Resources,PDF Video Audio Interactive,Direct site navigation,N/A - Site Inaccessible,Creative Commons CC BY-SA 3.0,Site confirmed inactive via Wikipedia - connection timeout errors
NROER,https://nroer.gov.in,Inactive,General Awareness,Hindi,Educational Resources,PDF Video Audio Interactive,Direct site navigation,N/A - Site Inaccessible,Creative Commons CC BY-SA 3.0,Site confirmed inactive via Wikipedia - connection timeout errors
DIKSHA,https://diksha.gov.in,Active,Mathematics,English,Study Material,PDF EPUB HTML Video Interactive,Filter system (Board Grade Content Type),Web portal mobile app,DIKSHA Copyright 2025,Complete K-12 coverage with practice materials
DIKSHA,https://diksha.gov.in,Active,Mathematics,Hindi,Study Material,PDF EPUB HTML Video Interactive,Filter system (Board Grade Content Type),Web portal mobile app,DIKSHA Copyright 2025,Complete K-12 coverage with practice materials
DIKSHA,https://diksha.gov.in,Active,General Intelligence & Reasoning,English,Practice Materials,PDF EPUB HTML Video Interactive Quizzes,Filter system (Board Grade Content Type),Web portal mobile app,DIKSHA Copyright 2025,Integrated reasoning content across subjects
DIKSHA,https://diksha.gov.in,Active,General Intelligence & Reasoning,Hindi,Practice Materials,PDF EPUB HTML Video Interactive Quizzes,Filter system (Board Grade Content Type),Web portal mobile app,DIKSHA Copyright 2025,Integrated reasoning content across subjects
DIKSHA,https://diksha.gov.in,Active,General Science,English,Interactive Content,PDF EPUB HTML Video Interactive,Filter system (Board Grade Content Type),Web portal mobile app,DIKSHA Copyright 2025,Physics Chemistry Biology across classes 3-12
DIKSHA,https://diksha.gov.in,Active,General Science,Hindi,Interactive Content,PDF EPUB HTML Video Interactive,Filter system (Board Grade Content Type),Web portal mobile app,DIKSHA Copyright 2025,Physics Chemistry Biology across classes 3-12
DIKSHA,https://diksha.gov.in,Active,General Awareness,English,Quizzes Cultural Content,PDF EPUB HTML Video Interactive Quizzes,Filter system (Board Grade Content Type),Web portal mobile app,DIKSHA Copyright 2025,Current affairs integration and cultural programs
DIKSHA,https://diksha.gov.in,Active,General Awareness,Hindi,Quizzes Cultural Content,PDF EPUB HTML Video Interactive Quizzes,Filter system (Board Grade Content Type),Web portal mobile app,DIKSHA Copyright 2025,Current affairs integration and cultural programs
