content_title,source_name,source_type,attribution_required,attribution_text,contact_info,license_type,usage_restrictions
"RRB Chandigarh Official Website",RRB Chandigarh,government,Yes,"Source: https://www.rrbcdg.gov.in/ - Official website of RRB Chandigarh. Contact: rrbcdg@railnet.gov.in, Phone: 0172-2730093. All content protected under government copyright.",rrbcdg@railnet.gov.in,Government Copyright,No unauthorized redistribution. Educational use permitted with proper attribution.
"RRB Mumbai Official Website",RRB Mumbai,government,Yes,"Source: https://www.rrbmumbai.gov.in/ - Official website of RRB Mumbai. Contact: asrrb-mum@nic.in, Phone: 022-23090422, 022-67644033. All content protected under government copyright.",asrrb-mum@nic.in,Government Copyright,No unauthorized redistribution. Educational use permitted with proper attribution.
"RRB Chennai Official Website",RRB Chennai,government,Yes,"Source: https://www.rrbchennai.gov.in/ - Official website of RRB Chennai. Contact: office.rrbmas@railnet.gov.in, Phone: 044-2827-5323. All content protected under government copyright.",office.rrbmas@railnet.gov.in,Government Copyright,No unauthorized redistribution. Educational use permitted with proper attribution.
"RRB Bangalore Official Website",RRB Bangalore,government,Yes,"Source: https://rrbbnc.gov.in/ - Official website of RRB Bangalore. Contact: enquiry.rrbsbc@gmail.com. All content protected under government copyright.",enquiry.rrbsbc@gmail.com,Government Copyright,No unauthorized redistribution. Educational use permitted with proper attribution.
"RRB Kolkata Official Website",RRB Kolkata,government,Yes,"Source: https://www.rrbkolkata.gov.in/ - Official website of RRB Kolkata. Contact: kolrrb@gmail.com, Phone: 6291516873. All content protected under government copyright.",kolrrb@gmail.com,Government Copyright,No unauthorized redistribution. Educational use permitted with proper attribution.
"RRB Delhi Official Website",RRB Delhi (RRCB),government,Yes,"Source: https://rrcb.gov.in/ - Official website of RRB Delhi. Contact information not specified. All content protected under government copyright.",Not specified,Government Copyright,No unauthorized redistribution. Educational use permitted with proper attribution.
"RRB Allahabad Official Website",RRB Allahabad (Prayagraj),government,Yes,"Source: https://rrbpryj.gov.in/ - Official website of RRB Allahabad. Contact: rrbpryj@gmail.com. All content protected under government copyright.",rrbpryj@gmail.com,Government Copyright,No unauthorized redistribution. Educational use permitted with proper attribution.
"RRB Bhopal Official Website",RRB Bhopal,government,Yes,"Source: https://rrbbhopal.gov.in/ - Official website of RRB Bhopal. Contact: msrrbbpl@gmail.com, Phone: 0755-2746660. All content protected under government copyright.",msrrbbpl@gmail.com,Government Copyright,No unauthorized redistribution. Educational use permitted with proper attribution.
"RRB Patna Official Website",RRB Patna,government,Yes,"Source: https://www.rrbpatna.gov.in/ - Official website of RRB Patna. Contact: office.rrbpnbe@railnet.gov.in, Phone: 0612-2677011. All content protected under government copyright.",office.rrbpnbe@railnet.gov.in,Government Copyright,No unauthorized redistribution. Educational use permitted with proper attribution.
"RRB Ranchi Official Website",RRB Ranchi,government,Yes,"Source: https://rrbranchi.gov.in/ - Official website of RRB Ranchi. Contact: rrb-ranchi@gov.in, Phone: 0651-2462429. All content protected under government copyright.",rrb-ranchi@gov.in,Government Copyright,No unauthorized redistribution. Educational use permitted with proper attribution.
