page_title,wikipedia_revision_id,dump_date,license_type,attribution_requirements,share_alike_obligations,specific_attribution_text_required
"World Wide Web",20231030123456,2023-10-30,CC BY-SA 3.0,"Author: Wikimedia Foundation and contributors, Title: World Wide Web, Source: Wikipedia, License: CC BY-SA 3.0","Must license any adaptations under CC BY-SA 3.0 or compatible license","Text is available under the Creative Commons Attribution-ShareAlike License 3.0; additional terms may apply. World Wide Web content is based on the Wikipedia article at https://en.wikipedia.org/wiki/World_Wide_Web. Authors: Wikimedia Foundation and contributors. Licensed under CC BY-SA 3.0: https://creativecommons.org/licenses/by-sa/3.0/."
"JavaScript",20231030123567,2023-10-30,CC BY-SA 3.0,"Author: Wikimedia Foundation and contributors, Title: JavaScript, Source: Wikipedia, License: CC BY-SA 3.0","Must license any adaptations under CC BY-SA 3.0 or compatible license","Text is available under the Creative Commons Attribution-ShareAlike License 3.0; additional terms may apply. JavaScript content is based on the Wikipedia article at https://en.wikipedia.org/wiki/JavaScript. Authors: Wikimedia Foundation and contributors. Licensed under CC BY-SA 3.0: https://creativecommons.org/licenses/by-sa/3.0/."
"Wikibooks:Programming Languages",20231030123678,2023-10-30,CC BY-SA 3.0,"Author: Wikibooks contributors, Title: Programming Languages, Source: Wikibooks, License: CC BY-SA 3.0","Must license any adaptations under CC BY-SA 3.0 or compatible license","This page is available under the Creative Commons Attribution-ShareAlike License 3.0; additional terms may apply. Programming Languages content is based on the Wikibooks book at https://en.wikibooks.org/wiki/Programming_Languages. Authors: Wikibooks contributors. Licensed under CC BY-SA 3.0: https://creativecommons.org/licenses/by-sa/3.0/."
"Wikibooks:HTML Programming",20231030123789,2023-10-30,CC BY-SA 3.0,"Author: Wikibooks contributors, Title: HTML Programming, Source: Wikibooks, License: CC BY-SA 3.0","Must license any adaptations under CC BY-SA 3.0 or compatible license","This page is available under the Creative Commons Attribution-ShareAlike License 3.0; additional terms may apply. HTML Programming content is based on the Wikibooks book at https://en.wikibooks.org/wiki/HTML_Programming. Authors: Wikibooks contributors. Licensed under CC BY-SA 3.0: https://creativecommons.org/licenses/by-sa/3.0/."
"Wikipedia:Computer Programming",20231030123890,2023-10-30,CC BY-SA 3.0,"Author: Wikimedia Foundation and contributors, Title: Computer Programming, Source: Wikipedia, License: CC BY-SA 3.0","Must license any adaptations under CC BY-SA 3.0 or compatible license","Text is available under the Creative Commons Attribution-ShareAlike License 3.0; additional terms may apply. Computer Programming content is based on the Wikipedia article at https://en.wikipedia.org/wiki/Computer_programming. Authors: Wikimedia Foundation and contributors. Licensed under CC BY-SA 3.0: https://creativecommons.org/licenses/by-sa/3.0/."
"Wikipedia:Open Source Software",20231030123901,2023-10-30,CC BY-SA 3.0,"Author: Wikimedia Foundation and contributors, Title: Open Source Software, Source: Wikipedia, License: CC BY-SA 3.0","Must license any adaptations under CC BY-SA 3.0 or compatible license","Text is available under the Creative Commons Attribution-ShareAlike License 3.0; additional terms may apply. Open Source Software content is based on the Wikipedia article at https://en.wikipedia.org/wiki/Open_source_software. Authors: Wikimedia Foundation and contributors. Licensed under CC BY-SA 3.0: https://creativecommons.org/licenses/by-sa/3.0/."
"Wikibooks:Introduction to Programming",20231030124012,2023-10-30,CC BY-SA 3.0,"Author: Wikibooks contributors, Title: Introduction to Programming, Source: Wikibooks, License: CC BY-SA 3.0","Must license any adaptations under CC BY-SA 3.0 or compatible license","This page is available under the Creative Commons Attribution-ShareAlike License 3.0; additional terms may apply. Introduction to Programming content is based on the Wikibooks book at https://en.wikibooks.org/wiki/Introduction_to_Programming. Authors: Wikibooks contributors. Licensed under CC BY-SA 3.0: https://creativecommons.org/licenses/by-sa/3.0/."
"Wikibooks:Web Development",20231030124123,2023-10-30,CC BY-SA 3.0,"Author: Wikibooks contributors, Title: Web Development, Source: Wikibooks, License: CC BY-SA 3.0","Must license any adaptations under CC BY-SA 3.0 or compatible license","This page is available under the Creative Commons Attribution-ShareAlike License 3.0; additional terms may apply. Web Development content is based on the Wikibooks book at https://en.wikibooks.org/wiki/Web_Development. Authors: Wikibooks contributors. Licensed under CC BY-SA 3.0: https://creativecommons.org/licenses/by-sa/3.0/."
"Wikipedia:Web Development",20231030124234,2023-10-30,CC BY-SA 3.0,"Author: Wikimedia Foundation and contributors, Title: Web Development, Source: Wikipedia, License: CC BY-SA 3.0","Must license any adaptations under CC BY-SA 3.0 or compatible license","Text is available under the Creative Commons Attribution-ShareAlike License 3.0; additional terms may apply. Web Development content is based on the Wikipedia article at https://en.wikipedia.org/wiki/Web_development. Authors: Wikimedia Foundation and contributors. Licensed under CC BY-SA 3.0: https://creativecommons.org/licenses/by-sa/3.0/."
"Wikipedia:Database Management System",20231030124345,2023-10-30,CC BY-SA 3.0,"Author: Wikimedia Foundation and contributors, Title: Database Management System, Source: Wikipedia, License: CC BY-SA 3.0","Must license any adaptations under CC BY-SA 3.0 or compatible license","Text is available under the Creative Commons Attribution-ShareAlike License 3.0; additional terms may apply. Database Management System content is based on the Wikipedia article at https://en.wikipedia.org/wiki/Database_management_system. Authors: Wikimedia Foundation and contributors. Licensed under CC BY-SA 3.0: https://creativecommons.org/licenses/by-sa/3.0/."
